tconst	averageRating	numVotes
tt0000001	5.8	1497
tt0000002	6.3	181
tt0000003	6.6	1136
tt0000004	6.4	110
tt0000005	6.2	1837
tt0000006	5.5	96
tt0000007	5.5	600
tt0000008	5.6	1599
tt0000009	5.5	79
tt0000010	6.9	5338
tt0000011	5.4	224
tt0000012	7.4	9024
tt0000013	5.8	1387
tt0000014	7.2	3937
tt0000015	6.2	705
tt0000016	5.9	1032
tt0000017	4.8	206
tt0000018	5.5	429
tt0000019	6.6	13
tt0000020	5.1	236
tt0000022	5.2	774
tt0000023	5.7	984
tt0000024	5.5	22
tt0000025	4.7	20
tt0000026	5.7	1182
tt0000027	5.6	809
tt0000028	5.2	738
tt0000029	5.9	2549
tt0000030	5.3	623
tt0000031	5.6	721
tt0000032	5.2	302
tt0000033	5.6	758
tt0000034	5.5	107
tt0000035	5.8	48
tt0000036	4.5	430
tt0000037	4.7	37
tt0000038	4.3	128
tt0000039	4.3	12
tt0000040	4.2	33
tt0000041	6.7	1254
tt0000042	4.7	18
tt0000043	4.3	10
tt0000044	4.7	24
tt0000045	4.7	15
tt0000046	4.5	15
tt0000047	3.8	13
tt0000048	5.1	102
tt0000049	5.6	20
tt0000050	4.5	13
tt0000051	4.2	11
tt0000052	4.8	43
tt0000053	3.3	6
tt0000054	5.5	16
tt0000055	4.2	13
tt0000056	3.7	9
tt0000057	4.7	12
tt0000058	4.4	13
tt0000059	4.0	10
tt0000060	7.8	59
tt0000061	4.2	12
tt0000062	6.4	141
tt0000063	4.0	9
tt0000064	3.8	10
tt0000065	4.0	10
tt0000066	4.1	10
tt0000067	5.9	38
tt0000068	4.3	10
tt0000069	4.9	299
tt0000070	6.4	2001
tt0000071	3.9	13
tt0000072	4.5	12
tt0000073	4.3	10
tt0000074	4.4	14
tt0000075	6.4	1322
tt0000076	4.5	381
tt0000077	5.0	16
tt0000078	4.4	41
tt0000079	4.6	16
tt0000080	4.3	12
tt0000081	4.4	13
tt0000082	5.2	20
tt0000083	5.0	15
tt0000084	4.3	13
tt0000085	5.0	15
tt0000086	4.4	13
tt0000087	5.0	16
tt0000088	5.0	13
tt0000089	6.3	724
tt0000090	4.2	12
tt0000091	6.7	2341
tt0000092	5.0	10
tt0000093	5.1	59
tt0000094	4.5	12
tt0000095	5.1	17
tt0000096	4.9	10
tt0000097	5.2	16
tt0000098	5.5	18
tt0000099	5.0	13
tt0000100	5.2	28
tt0000101	4.9	11
tt0000102	5.1	11
tt0000103	5.8	13
tt0000104	5.7	346
tt0000105	5.4	13
tt0000106	5.0	9
tt0000107	5.6	12
tt0000108	4.4	393
tt0000109	4.6	385
tt0000110	4.5	390
tt0000111	4.5	399
tt0000112	4.6	385
tt0000113	4.4	405
tt0000114	5.5	14
tt0000115	5.5	13
tt0000116	5.5	13
tt0000117	5.3	100
tt0000118	5.6	14
tt0000119	6.1	19
tt0000120	5.8	24
tt0000121	4.6	35
tt0000122	5.5	13
tt0000123	5.7	59
tt0000124	5.6	13
tt0000125	4.7	7
tt0000126	5.7	15
tt0000127	4.8	11
tt0000128	5.9	22
tt0000129	6.8	32
tt0000130	5.5	13
tt0000131	5.8	900
tt0000132	5.1	764
tt0000133	6.7	19
tt0000134	4.7	7
tt0000135	7.0	48
tt0000136	6.3	265
tt0000138	6.5	686
tt0000139	6.0	11
tt0000140	5.2	196
tt0000141	5.6	47
tt0000142	5.6	9
tt0000143	5.0	171
tt0000144	5.3	191
tt0000146	6.0	9
tt0000147	5.2	291
tt0000149	6.0	6
tt0000150	5.6	86
tt0000151	5.6	25
tt0000152	6.2	130
tt0000153	5.7	253
tt0000154	4.7	6
tt0000155	5.7	9
tt0000156	4.6	9
tt0000159	5.6	39
tt0000160	5.8	8
tt0000162	5.5	355
tt0000164	5.2	196
tt0000165	5.2	69
tt0000167	4.7	85
tt0000169	4.7	10
tt0000170	5.3	152
tt0000172	6.1	500
tt0000173	5.4	13
tt0000174	5.0	88
tt0000175	5.1	137
tt0000177	4.7	163
tt0000178	5.5	55
tt0000179	4.9	13
tt0000181	7.4	29
tt0000182	5.0	412
tt0000183	6.9	12
tt0000184	4.9	226
tt0000186	4.7	9
tt0000187	5.7	26
tt0000190	5.2	102
tt0000192	4.6	117
tt0000194	5.5	62
tt0000196	5.5	11
tt0000197	6.4	5
tt0000205	6.1	14
tt0000208	5.8	419
tt0000209	5.9	9
tt0000210	5.9	12
tt0000211	7.5	2863
tt0000213	4.7	160
tt0000214	4.8	46
tt0000215	4.5	82
tt0000218	6.0	428
tt0000219	7.2	21
tt0000222	4.6	153
tt0000223	6.3	9
tt0000225	5.6	16
tt0000228	5.0	182
tt0000229	4.6	59
tt0000230	6.5	1165
tt0000231	4.4	5
tt0000234	6.4	31
tt0000235	6.3	453
tt0000239	5.6	154
tt0000240	4.4	44
tt0000242	6.4	732
tt0000245	7.1	17
tt0000246	6.5	821
tt0000247	5.0	358
tt0000248	6.0	1136
tt0000251	5.4	72
tt0000253	5.0	11
tt0000256	4.7	114
tt0000261	6.3	34
tt0000264	5.8	298
tt0000265	4.7	88
tt0000269	5.3	83
tt0000271	7.3	6
tt0000272	5.6	579
tt0000273	5.5	395
tt0000274	5.7	158
tt0000276	7.6	8
tt0000277	6.3	44
tt0000279	5.4	5
tt0000280	5.4	5
tt0000281	5.8	5
tt0000283	6.2	12
tt0000284	5.4	150
tt0000286	5.8	146
tt0000287	5.0	112
tt0000288	5.4	138
tt0000292	5.6	54
tt0000296	6.0	186
tt0000299	5.6	147
tt0000300	7.0	923
tt0000301	4.4	258
tt0000302	5.1	108
tt0000304	6.0	886
tt0000306	5.5	145
tt0000307	5.0	56
tt0000308	5.9	41
tt0000309	6.2	626
tt0000310	7.5	13
tt0000313	5.9	583
tt0000319	6.0	88
tt0000321	4.9	152
tt0000328	7.2	6
tt0000335	6.3	39
tt0000337	5.1	287
tt0000340	5.1	197
tt0000341	5.1	259
tt0000346	5.0	152
tt0000347	4.4	73
tt0000349	5.9	80
tt0000350	5.9	533
tt0000352	6.4	16
tt0000353	5.3	256
tt0000355	6.2	486
tt0000357	5.9	280
tt0000358	6.2	506
tt0000359	7.2	2182
tt0000361	8.1	10
tt0000363	6.4	93
tt0000364	5.5	110
tt0000368	7.0	8
tt0000370	5.6	299
tt0000373	6.1	43
tt0000376	7.8	6
tt0000377	6.6	81
tt0000379	5.2	6
tt0000380	7.2	13
tt0000381	4.3	7
tt0000384	5.8	157
tt0000387	5.2	239
tt0000388	5.2	82
tt0000399	6.2	585
tt0000400	7.0	9
tt0000406	6.4	17
tt0000407	3.8	24
tt0000409	5.2	139
tt0000410	6.7	788
tt0000412	4.3	6
tt0000413	5.6	294
tt0000414	5.4	591
tt0000416	5.5	87
tt0000417	8.2	38476
tt0000420	6.3	2120
tt0000423	5.6	159
tt0000425	5.4	9
tt0000426	5.6	5
tt0000430	6.0	541
tt0000432	5.7	146
tt0000436	6.3	402
tt0000437	5.2	153
tt0000439	7.3	15102
tt0000440	5.4	158
tt0000442	4.7	45
tt0000446	5.7	6
tt0000447	6.4	1819
tt0000451	6.6	637
tt0000452	4.7	78
tt0000455	6.9	1531
tt0000456	4.2	33
tt0000459	4.4	44
tt0000464	4.8	300
tt0000465	7.4	960
tt0000469	5.9	781
tt0000471	5.2	363
tt0000472	6.7	9
tt0000479	5.4	298
tt0000480	5.0	140
tt0000487	7.1	336
tt0000488	7.0	607
tt0000491	3.9	36
tt0000492	4.9	67
tt0000495	6.1	74
tt0000496	6.4	32
tt0000497	5.3	35
tt0000498	6.7	892
tt0000499	7.6	2787
tt0000501	4.8	22
tt0000505	8.1	11
tt0000506	5.8	5
tt0000507	3.9	26
tt0000509	6.5	17
tt0000511	7.1	21
tt0000512	4.5	35
tt0000515	4.9	58
tt0000516	6.6	741
tt0000519	5.8	266
tt0000520	7.0	25
tt0000521	5.6	222
tt0000524	5.8	592
tt0000525	5.5	28
tt0000526	4.3	38
tt0000528	6.7	7
tt0000533	7.5	17
tt0000534	6.7	805
tt0000535	5.0	35
tt0000537	4.0	49
tt0000543	5.3	11
tt0000546	6.7	1513
tt0000548	6.2	5
tt0000550	4.4	8
tt0000552	5.7	27
tt0000553	6.7	216
tt0000554	6.2	948
tt0000555	5.4	10
tt0000557	4.7	84
tt0000561	5.5	24
tt0000565	6.4	387
tt0000567	6.8	773
tt0000570	4.1	30
tt0000571	6.9	45
tt0000574	6.2	508
tt0000575	6.0	343
tt0000576	6.0	176
tt0000578	7.1	10
tt0000582	5.2	542
tt0000583	5.6	19
tt0000584	5.0	43
tt0000586	7.0	5
tt0000591	6.0	5
tt0000597	5.0	45
tt0000598	5.3	21
tt0000599	4.7	7
tt0000601	5.8	6
tt0000602	4.9	139
tt0000609	4.4	10
tt0000610	5.0	10
tt0000613	4.3	7
tt0000614	6.6	674
tt0000615	4.8	15
tt0000617	4.6	16
tt0000621	6.5	466
tt0000627	5.8	13
tt0000628	5.7	594
tt0000629	5.7	27
tt0000630	2.9	11
tt0000632	5.1	27
tt0000637	5.6	489
tt0000638	5.1	27
tt0000639	4.9	35
tt0000640	4.4	62
tt0000641	5.2	89
tt0000642	5.6	21
tt0000644	5.4	16
tt0000645	5.4	80
tt0000648	4.8	87
tt0000651	5.1	23
tt0000653	4.6	130
tt0000654	5.5	31
tt0000658	6.5	143
tt0000659	5.0	27
tt0000660	5.8	15
tt0000661	7.2	9
tt0000662	4.6	12
tt0000663	5.6	12
tt0000665	5.8	12
tt0000666	5.6	19
tt0000668	6.9	18
tt0000669	4.7	94
tt0000671	5.8	8
tt0000672	6.3	10
tt0000674	4.5	26
tt0000675	4.3	10
tt0000676	3.8	9
tt0000679	4.8	33
tt0000680	5.8	11
tt0000681	5.3	7
tt0000682	6.9	1879
tt0000683	5.6	36
tt0000684	5.1	55
tt0000685	5.8	12
tt0000689	6.6	15
tt0000690	6.5	11
tt0000694	5.1	15
tt0000695	5.9	18
tt0000697	5.5	6
tt0000698	5.3	6
tt0000699	6.0	7
tt0000700	5.3	37
tt0000704	5.8	9
tt0000706	5.0	10
tt0000707	5.3	6
tt0000708	4.0	7
tt0000709	5.3	16
tt0000713	5.2	5
tt0000717	6.0	6
tt0000720	6.7	7
tt0000722	4.7	6
tt0000724	5.2	29
tt0000727	6.2	8
tt0000728	5.9	61
tt0000730	5.9	24
tt0000731	4.8	9
tt0000733	5.9	12
tt0000737	5.3	10
tt0000738	7.8	11
tt0000739	6.1	9
tt0000740	5.5	6
tt0000741	5.3	6
tt0000746	7.6	8
tt0000747	5.1	7
tt0000748	5.9	12
tt0000749	5.7	580
tt0000752	5.4	65
tt0000754	7.1	35
tt0000755	5.8	135
tt0000756	5.4	72
tt0000758	6.0	16
tt0000759	7.6	7
tt0000764	6.1	78
tt0000767	6.8	6
tt0000769	5.2	105
tt0000770	5.8	80
tt0000771	6.2	10
tt0000772	6.3	7
tt0000775	7.5	6
tt0000776	5.4	38
tt0000781	6.2	8
tt0000782	8.3	13
tt0000784	5.2	5
tt0000785	5.6	22
tt0000787	5.7	7
tt0000789	5.1	21
tt0000790	6.2	234
tt0000792	4.9	14
tt0000793	4.4	8
tt0000797	5.5	68
tt0000798	4.0	8
tt0000800	5.5	34
tt0000801	5.2	12
tt0000807	4.9	11
tt0000809	6.3	20
tt0000815	4.9	10
tt0000816	4.8	52
tt0000817	3.2	9
tt0000819	5.5	12
tt0000821	4.7	44
tt0000823	4.7	12
tt0000825	4.7	10
tt0000826	4.7	9
tt0000827	5.1	19
tt0000828	5.2	43
tt0000829	4.5	11
tt0000831	5.2	62
tt0000832	6.6	1895
tt0000833	6.5	461
tt0000835	5.0	70
tt0000836	4.8	36
tt0000837	5.0	7
tt0000840	5.6	221
tt0000841	5.9	15
tt0000843	5.8	8
tt0000844	7.4	7
tt0000845	4.9	8
tt0000847	5.9	8
tt0000848	5.7	12
tt0000851	5.3	9
tt0000852	5.8	123
tt0000853	5.7	7
tt0000854	6.1	337
tt0000855	5.7	7
tt0000857	5.2	6
tt0000858	5.2	6
tt0000860	5.3	16
tt0000861	5.3	11
tt0000862	4.6	10
tt0000864	6.0	10
tt0000866	6.6	5
tt0000870	5.5	11
tt0000871	5.7	46
tt0000873	5.8	6
tt0000874	5.1	8
tt0000875	4.7	7
tt0000877	5.1	38
tt0000878	4.9	105
tt0000880	6.1	28
tt0000882	5.9	121
tt0000884	3.5	6
tt0000886	5.1	19
tt0000887	4.4	18
tt0000890	7.3	12
tt0000891	5.1	18
tt0000892	5.7	32
tt0000893	6.5	16
tt0000895	5.6	119
tt0000897	6.3	16
tt0000898	5.4	5
tt0000904	5.3	76
tt0000908	6.6	9
tt0000910	5.3	6
tt0000911	3.2	6
tt0000912	4.5	28
tt0000916	6.5	38
tt0000921	5.5	6
tt0000922	5.7	60
tt0000924	6.3	109
tt0000928	5.5	57
tt0000929	5.5	29
tt0000930	4.6	5
tt0000932	3.2	5
tt0000933	5.1	18
tt0000934	4.5	6
tt0000935	6.2	46
tt0000936	7.2	35
tt0000938	4.4	120
tt0000939	5.4	7
tt0000941	4.4	10
tt0000942	6.1	687
tt0000944	3.8	5
tt0000945	4.6	37
tt0000946	4.6	37
tt0000950	3.6	8
tt0000957	6.5	29
tt0000960	4.7	197
tt0000961	8.6	11
tt0000964	5.2	5
tt0000966	5.8	270
tt0000969	5.8	12
tt0000970	5.6	45
tt0000971	6.2	105
tt0000972	5.7	31
tt0000974	5.0	19
tt0000976	4.4	7
tt0000979	4.9	13
tt0000981	6.0	14
tt0000986	5.2	73
tt0000987	7.8	6
tt0000988	4.0	6
tt0000989	5.2	11
tt0000990	6.2	36
tt0000992	4.7	9
tt0000995	7.6	5
tt0000997	7.2	5
tt0000998	5.2	8
tt0001000	6.0	10
tt0001001	5.7	59
tt0001002	4.8	62
tt0001008	5.2	9
tt0001009	6.6	782
tt0001013	6.0	272
tt0001014	5.1	70
tt0001015	4.3	7
tt0001016	5.7	70
tt0001028	4.1	9
tt0001029	5.3	22
tt0001032	6.1	630
tt0001033	5.4	5
tt0001035	4.9	17
tt0001036	2.8	6
tt0001037	3.4	11
tt0001038	4.1	13
tt0001041	6.2	8
tt0001044	6.0	61
tt0001049	3.8	9
tt0001050	5.4	44
tt0001054	6.4	11
tt0001058	5.1	7
tt0001061	6.4	11
tt0001062	6.2	925
tt0001064	5.4	8
tt0001066	3.8	5
tt0001072	5.7	197
tt0001074	6.1	9
tt0001076	5.6	9
tt0001078	6.8	10
tt0001083	5.5	75
tt0001084	5.1	118
tt0001088	5.3	35
tt0001089	8.2	17
tt0001091	5.5	135
tt0001092	6.6	9
tt0001098	6.7	6
tt0001101	4.5	15
tt0001103	5.6	12
tt0001104	5.0	12
tt0001105	6.6	661
tt0001106	6.2	45
tt0001107	5.9	19
tt0001111	4.4	9
tt0001112	3.4	15
tt0001113	5.6	9
tt0001115	4.8	12
tt0001116	4.9	10
tt0001117	5.9	7
tt0001118	5.5	117
tt0001120	5.6	140
tt0001121	4.9	12
tt0001122	5.2	9
tt0001129	5.3	13
tt0001135	4.9	19
tt0001143	5.0	11
tt0001144	5.0	10
tt0001145	5.8	5
tt0001150	5.4	45
tt0001151	4.5	11
tt0001152	4.8	12
tt0001153	4.9	10
tt0001156	4.8	8
tt0001159	5.6	9
tt0001161	4.9	9
tt0001165	5.0	6
tt0001175	5.6	22
tt0001176	4.7	7
tt0001184	3.1	11
tt0001185	7.0	14
tt0001186	5.2	43
tt0001187	4.9	7
tt0001190	6.6	8
tt0001195	4.6	5
tt0001200	4.8	13
tt0001202	5.2	6
tt0001206	6.6	9
tt0001207	5.7	75
tt0001211	5.4	25
tt0001216	5.1	7
tt0001217	5.9	35
tt0001218	5.3	63
tt0001223	6.5	3186
tt0001227	5.9	168
tt0001230	5.0	9
tt0001234	5.8	11
tt0001236	5.0	10
tt0001237	4.5	22
tt0001240	3.7	13
tt0001241	5.0	7
tt0001242	5.6	8
tt0001245	5.4	30
tt0001256	6.0	413
tt0001258	5.7	68
tt0001262	5.0	7
tt0001264	7.2	39
tt0001265	6.5	413
tt0001277	4.8	11
tt0001280	4.7	13
tt0001282	6.7	14
tt0001283	6.9	7
tt0001284	5.1	16
tt0001285	5.1	31
tt0001292	5.1	27
tt0001294	7.2	5
tt0001299	3.4	7
tt0001303	6.8	6
tt0001306	4.8	5
tt0001307	6.4	5
tt0001314	5.9	125
tt0001315	6.6	9
tt0001321	5.1	20
tt0001326	5.6	26
tt0001330	6.2	12
tt0001333	5.6	17
tt0001337	6.4	17
tt0001338	6.0	6
tt0001340	5.1	65
tt0001351	6.3	27
tt0001358	4.2	15
tt0001370	5.2	15
tt0001371	6.0	306
tt0001377	5.1	17
tt0001378	6.2	162
tt0001380	3.6	5
tt0001381	5.2	19
tt0001385	5.6	25
tt0001386	4.7	9
tt0001387	6.0	11
tt0001388	5.7	49
tt0001396	3.2	5
tt0001400	7.3	6
tt0001401	5.9	12
tt0001407	7.2	5
tt0001410	4.3	6
tt0001414	7.6	17
tt0001423	4.6	7
tt0001428	5.2	20
tt0001431	6.4	518
tt0001432	4.5	8
tt0001439	6.0	187
tt0001440	4.8	12
tt0001444	3.3	19
tt0001446	6.0	6
tt0001452	5.5	140
tt0001454	5.8	5
tt0001456	8.5	8
tt0001458	6.0	118
tt0001459	5.5	28
tt0001460	3.2	6
tt0001461	5.9	9
tt0001463	5.7	1260
tt0001469	5.8	60
tt0001475	7.3	15
tt0001481	5.7	9
tt0001482	5.1	26
tt0001488	6.4	319
tt0001490	4.8	9
tt0001496	4.1	31
tt0001499	5.6	234
tt0001500	5.7	6
tt0001508	5.3	12
tt0001510	5.6	25
tt0001517	6.0	13
tt0001518	5.7	7
tt0001519	4.4	14
tt0001527	7.7	2252
tt0001529	4.0	8
tt0001530	5.5	10
tt0001531	4.7	9
tt0001542	4.4	7
tt0001544	6.1	465
tt0001545	6.7	83
tt0001550	5.5	26
tt0001551	5.2	75
tt0001552	5.2	12
tt0001557	4.8	52
tt0001560	4.1	7
tt0001563	5.8	26
tt0001564	4.6	7
tt0001571	5.0	6
tt0001577	5.0	6
tt0001582	4.9	8
tt0001583	5.6	10
tt0001586	4.0	8
tt0001587	3.8	11
tt0001588	5.6	125
tt0001593	6.4	252
tt0001594	6.4	220
tt0001598	6.3	11
tt0001607	5.7	27
tt0001613	5.7	99
tt0001614	6.4	13
tt0001615	5.4	11
tt0001624	5.0	31
tt0001630	5.7	20
tt0001632	6.4	37
tt0001642	5.1	22
tt0001654	5.5	16
tt0001655	4.4	8
tt0001658	5.8	8
tt0001659	7.4	7
tt0001660	5.8	156
tt0001668	4.2	24
tt0001671	5.3	13
tt0001680	5.2	464
tt0001681	5.0	190
tt0001692	5.3	10
tt0001693	7.1	11
tt0001695	4.8	33
tt0001701	4.7	51
tt0001709	5.9	16
tt0001715	3.5	6
tt0001717	3.4	14
tt0001724	5.8	194
tt0001728	7.7	6
tt0001732	7.1	8
tt0001733	5.6	11
tt0001737	7.2	1370
tt0001738	7.2	18
tt0001740	6.6	921
tt0001741	4.5	11
tt0001742	5.6	7
tt0001747	4.7	10
tt0001753	6.0	6
tt0001762	4.7	50
tt0001769	5.5	22
tt0001771	5.5	107
tt0001772	5.6	7
tt0001776	6.8	135
tt0001779	7.0	9
tt0001787	8.2	5
tt0001789	6.4	188
tt0001790	5.7	22
tt0001803	3.0	7
tt0001815	7.7	6
tt0001817	5.2	60
tt0001832	6.1	27
tt0001840	5.1	19
tt0001845	5.0	6
tt0001848	4.2	24
tt0001852	4.1	7
tt0001856	4.8	25
tt0001857	5.8	172
tt0001862	5.3	24
tt0001865	6.6	18
tt0001871	4.6	28
tt0001872	7.0	21
tt0001877	5.2	38
tt0001889	4.1	9
tt0001892	6.1	163
tt0001896	5.1	38
tt0001910	5.3	38
tt0001911	4.2	8
tt0001913	5.6	165
tt0001915	6.1	68
tt0001923	7.3	15
tt0001925	5.3	13
tt0001928	4.6	31
tt0001941	5.1	53
tt0001949	5.9	15
tt0001956	6.1	7
tt0001957	5.2	37
tt0001963	5.7	95
tt0001964	6.2	46
tt0001967	5.9	8
tt0001973	6.3	209
tt0001978	6.0	11
tt0001987	6.6	10
tt0001993	4.2	11
tt0001998	4.2	13
tt0002020	5.2	81
tt0002029	6.1	31
tt0002031	4.7	9
tt0002033	5.7	25
tt0002034	4.9	15
tt0002041	4.2	13
tt0002045	4.3	67
tt0002054	5.8	108
tt0002056	6.9	90
tt0002064	4.9	28
tt0002065	6.3	31
tt0002066	4.0	48
tt0002068	5.4	13
tt0002070	4.8	20
tt0002078	5.1	21
tt0002082	6.3	290
tt0002083	6.2	167
tt0002093	5.0	10
tt0002095	5.3	10
tt0002097	4.5	10
tt0002098	5.9	104
tt0002101	5.1	386
tt0002107	5.1	9
tt0002113	6.9	705
tt0002121	4.8	14
tt0002122	6.2	221
tt0002124	5.1	284
tt0002126	6.4	36
tt0002130	7.1	1861
tt0002132	5.6	5
tt0002133	5.9	142
tt0002136	5.9	50
tt0002139	5.4	7
tt0002143	6.0	427
tt0002144	5.4	10
tt0002145	8.7	7
tt0002151	4.8	16
tt0002153	5.7	39
tt0002159	4.1	17
tt0002160	6.6	58
tt0002162	4.5	32
tt0002167	5.0	11
tt0002172	5.2	10
tt0002176	6.1	216
tt0002177	5.8	18
tt0002179	3.5	17
tt0002181	6.4	114
tt0002186	6.4	69
tt0002190	6.4	308
tt0002196	4.5	6
tt0002197	5.6	205
tt0002198	6.3	19
tt0002199	5.8	423
tt0002200	6.3	66
tt0002202	4.8	9
tt0002203	5.1	31
tt0002206	5.5	11
tt0002208	6.8	1009
tt0002212	5.6	12
tt0002214	6.1	18
tt0002216	5.5	13
tt0002220	4.4	13
tt0002221	6.9	290
tt0002224	5.2	115
tt0002226	5.7	29
tt0002230	6.4	71
tt0002232	5.4	33
tt0002233	4.8	96
