title,year,profitability,imdb_rating
The Devil Inside,2012,101.75844512186107,4.2
Paranormal Activity 3,2011,41.40796828551533,5.8
Paranormal Activity 4,2012,28.558767427141053,4.6
Your Sister's Sister,2011,25.754922233933844,6.7
The Vow,2012,22.615121681850113,6.8
The Conjuring,2013,15.90000705,7.5
Like Crazy,2011,14.925939371936831,6.7
The Best Exotic Marigold Hotel,2011,13.472934489714497,7.3
Despicable Me 2,2013,12.773236907894736,7.4
Bad Teacher,2011,11.390119180562172,5.7
Silver Linings Playbook,2012,10.824637907657477,7.7
Another Earth,2011,10.178243933659225,7
Mama,2013,9.869416866666667,6.2
Bridesmaids,2011,8.900404073672002,6.8
The Hunger Games,2012,8.556383680223075,7.2
The Help,2011,8.524800065811148,8.1
The Iron Lady,2011,8.25657885616853,6.4
Think Like a Man,2012,8.012926852525403,6.6
We're the Millers,2013,7.297300513513513,7
About Time,2013,7.277062166666667,7.8
Les Miserables,2012,6.800352189071282,7.6
Pitch Perfect,2012,6.784186730992478,7.2
Frozen,2013,6.69700076,7.5
The Hunger Games: Catching Fire,2013,6.592986615384615,7.5
American Hustle,2013,6.237122725,7.2
Spring Breakers,2012,6.133906003576052,5.3
Horrible Bosses,2011,6.129673036999625,6.9
No Strings Attached,2011,5.9691230239758815,6.2
Safety Not Guaranteed,2012,5.884250419525374,7
Transformers: Dark of the Moon,2011,5.763046551915359,6.3
Evil Dead,2013,5.729532294117647,6.5
The Twilight Saga: Breaking Dawn - Part 1,2011,5.568146340900068,4.9
New Year's Eve,2011,5.525534685880401,5.7
Jumping the Broom,2011,5.451228276060314,5.7
The Heat,2013,5.36701365116279,6.6
October Baby,2011,5.355845517630258,6.8
The Way Way Back,2013,5.2322886,7.4
Super 8,2011,5.20191976605218,7
Our Idiot Brother,2011,5.172249671427032,6.4
Midnight in Paris,2011,5.160555318891185,7.7
The Smurfs,2011,5.118786804980676,5.5
Lee Daniels' The Butler,2013,5.0504476333333335,7.2
Fast Five,2011,5.038730285737485,7.3
Step Up Revolution,2012,5.016736008669216,6.5
Argo,2012,4.97304932806537,7.7
Fast and Furious 6,2013,4.9258007625,7.1
Parental Guidance,2012,4.806745330080891,6.1
Machete Kills,2013,4.7040805,5.6
The Last Exorcism Part II,2013,4.635309,4
The Call,2013,4.5337513846153845,6.7
Hansel & Gretel: Witch Hunters,2013,4.5140695,6.1
Kung Fu Panda 2,2011,4.432250312960204,7.2
Hotel Transylvania,2012,4.22614134470463,7.1
Lincoln,2012,4.200014747199029,7.4
Hannibal,2012,4.024141159829804,8.5
Moonrise Kingdom,2012,4.000779156764998,7.8
Contraband,2012,3.936274213745632,6.5
Blue Jasmine,2013,3.8026572777777776,7.3
The Wolverine,2013,3.6213639304347827,6.7
Martha Marcy May Marlene,2011,3.531037732296602,6.9
Safe Haven,2013,3.355129392857143,6.7
The Book Thief,2013,3.265553947368421,7.6
The Smurfs 2,2013,3.1685985545454547,5.4
The Expendables 2,2012,3.1197925483948437,6.6
